Genus,total_genus,Source,Gene1,Gene2,total_source,amr_only,both_genes,comparison
Acinetobacter,28242,Fish/Seafood,aac(3),bcrABC,1,0,0,aac(3)+bcrABC
Acinetobacter,28242,Fish/Seafood,aac(3),crcB,1,0,0,aac(3)+crcB
Acinetobacter,28242,Fish/Seafood,aac(3),lmrS,1,0,0,aac(3)+lmrS
Acinetobacter,28242,Fish/Seafood,aac(3),smr,1,0,0,aac(3)+smr
Acinetobacter,28242,Fish/Seafood,aac(3),emrE,1,0,0,aac(3)+emrE
Acinetobacter,28242,Fish/Seafood,aac(6')-Ib-cr,qac,1,0,0,aac(6')-Ib-cr+qac
Acinetobacter,28242,Fish/Seafood,aac(6')-Ib-cr,bcrABC,1,0,0,aac(6')-Ib-cr+bcrABC
Acinetobacter,28242,Fish/Seafood,aac(6')-Ib-cr,crcB,1,0,0,aac(6')-Ib-cr+crcB
Acinetobacter,28242,Fish/Seafood,aac(6')-Ib-cr,lmrS,1,0,0,aac(6')-Ib-cr+lmrS
Acinetobacter,28242,Fish/Seafood,aac(6')-Ib-cr,smr,1,0,0,aac(6')-Ib-cr+smr
Acinetobacter,28242,Fish/Seafood,aac(6')-Ib-cr,emrE,1,0,0,aac(6')-Ib-cr+emrE
Acinetobacter,28242,Fish/Seafood,aadA,qac,1,0,0,aadA+qac
Acinetobacter,28242,Fish/Seafood,aadA,bcrABC,1,0,0,aadA+bcrABC
Acinetobacter,28242,Fish/Seafood,aadA,crcB,1,0,0,aadA+crcB
Acinetobacter,28242,Fish/Seafood,aadA,lmrS,1,0,0,aadA+lmrS
Acinetobacter,28242,Fish/Seafood,aadA,smr,1,0,0,aadA+smr
Acinetobacter,28242,Fish/Seafood,aadA,emrE,1,0,0,aadA+emrE
Acinetobacter,28242,Fish/Seafood,aph(3'')-Ib,qac,1,0,0,aph(3'')-Ib+qac
Acinetobacter,28242,Fish/Seafood,aph(3'')-Ib,bcrABC,1,0,0,aph(3'')-Ib+bcrABC
Acinetobacter,28242,Fish/Seafood,aph(3'')-Ib,crcB,1,0,0,aph(3'')-Ib+crcB
Acinetobacter,28242,Fish/Seafood,aph(3'')-Ib,lmrS,1,0,0,aph(3'')-Ib+lmrS
Acinetobacter,28242,Fish/Seafood,aph(3'')-Ib,smr,1,0,0,aph(3'')-Ib+smr
Acinetobacter,28242,Fish/Seafood,aph(3'')-Ib,emrE,1,0,0,aph(3'')-Ib+emrE
Acinetobacter,28242,Fish/Seafood,aph(3'),qac,1,0,0,aph(3')+qac
Acinetobacter,28242,Fish/Seafood,aph(3'),bcrABC,1,0,0,aph(3')+bcrABC
Acinetobacter,28242,Fish/Seafood,aph(3'),crcB,1,0,0,aph(3')+crcB
Acinetobacter,28242,Fish/Seafood,aph(3'),lmrS,1,0,0,aph(3')+lmrS
Acinetobacter,28242,Fish/Seafood,aph(3'),smr,1,0,0,aph(3')+smr
Acinetobacter,28242,Fish/Seafood,aph(3'),emrE,1,0,0,aph(3')+emrE
Acinetobacter,28242,Fish/Seafood,aph(6)-Id,qac,1,0,0,aph(6)-Id+qac
Acinetobacter,28242,Fish/Seafood,aph(6)-Id,bcrABC,1,0,0,aph(6)-Id+bcrABC
Acinetobacter,28242,Fish/Seafood,aph(6)-Id,crcB,1,0,0,aph(6)-Id+crcB
Acinetobacter,28242,Fish/Seafood,aph(6)-Id,lmrS,1,0,0,aph(6)-Id+lmrS
Acinetobacter,28242,Fish/Seafood,aph(6)-Id,smr,1,0,0,aph(6)-Id+smr
Acinetobacter,28242,Fish/Seafood,aph(6)-Id,emrE,1,0,0,aph(6)-Id+emrE
Acinetobacter,28242,Fish/Seafood,blaCMY,qac,1,0,0,blaCMY+qac
Acinetobacter,28242,Fish/Seafood,blaCMY,bcrABC,1,0,0,blaCMY+bcrABC
Acinetobacter,28242,Fish/Seafood,blaCMY,crcB,1,0,0,blaCMY+crcB
Acinetobacter,28242,Fish/Seafood,blaCMY,lmrS,1,0,0,blaCMY+lmrS
Acinetobacter,28242,Fish/Seafood,blaCMY,smr,1,0,0,blaCMY+smr
Acinetobacter,28242,Fish/Seafood,blaCMY,emrE,1,0,0,blaCMY+emrE
Acinetobacter,28242,Fish/Seafood,blaCMY-2,qac,1,0,0,blaCMY-2+qac
Acinetobacter,28242,Fish/Seafood,blaCMY-2,bcrABC,1,0,0,blaCMY-2+bcrABC
Acinetobacter,28242,Fish/Seafood,blaCMY-2,crcB,1,0,0,blaCMY-2+crcB
Acinetobacter,28242,Fish/Seafood,blaCMY-2,lmrS,1,0,0,blaCMY-2+lmrS
Acinetobacter,28242,Fish/Seafood,blaCMY-2,smr,1,0,0,blaCMY-2+smr
Acinetobacter,28242,Fish/Seafood,blaCMY-2,emrE,1,0,0,blaCMY-2+emrE
Acinetobacter,28242,Fish/Seafood,blaCTX-M,qac,1,0,0,blaCTX-M+qac
Acinetobacter,28242,Fish/Seafood,blaCTX-M,bcrABC,1,0,0,blaCTX-M+bcrABC
Acinetobacter,28242,Fish/Seafood,blaCTX-M,crcB,1,0,0,blaCTX-M+crcB
Acinetobacter,28242,Fish/Seafood,blaCTX-M,lmrS,1,0,0,blaCTX-M+lmrS
Acinetobacter,28242,Fish/Seafood,blaCTX-M,smr,1,0,0,blaCTX-M+smr
Acinetobacter,28242,Fish/Seafood,blaCTX-M,emrE,1,0,0,blaCTX-M+emrE
Acinetobacter,28242,Fish/Seafood,blaIMP,qac,1,0,0,blaIMP+qac
Acinetobacter,28242,Fish/Seafood,blaIMP,bcrABC,1,0,0,blaIMP+bcrABC
Acinetobacter,28242,Fish/Seafood,blaIMP,crcB,1,0,0,blaIMP+crcB
Acinetobacter,28242,Fish/Seafood,blaIMP,lmrS,1,0,0,blaIMP+lmrS
