Genus,Total_genus,Source,Gene,number,total
Aeromonas,1213,Raw pet food,ttgR,,
Aeromonas,1213,Raw pet food,ttgT,,
Aeromonas,1213,Raw pet food,mtrF,,
Aeromonas,1213,Raw pet food,emrE,,
Aeromonas,1213,Pet food,qac,,
Aeromonas,1213,Pet food,qacEdelta,,
Aeromonas,1213,Pet food,qacC,,
Aeromonas,1213,Pet food,qacE,,
Aeromonas,1213,Pet food,qacA,,
Aeromonas,1213,Pet food,qacB,,
Aeromonas,1213,Pet food,qacF,,
Aeromonas,1213,Pet food,qacG,,
Aeromonas,1213,Pet food,qacH,,
Aeromonas,1213,Pet food,qacJ,,
Aeromonas,1213,Pet food,qacK,,
Aeromonas,1213,Pet food,qacL,,
Aeromonas,1213,Pet food,qacM,,
Aeromonas,1213,Pet food,sugE,,
Aeromonas,1213,Pet food,bcrABC,,
Aeromonas,1213,Pet food,crcB,,
Aeromonas,1213,Pet food,srp,,
Aeromonas,1213,Pet food,smd,,
Aeromonas,1213,Pet food,sde,,
Aeromonas,1213,Pet food,lmrS,,
Aeromonas,1213,Pet food,smr,,
Aeromonas,1213,Pet food,ssmE,,
Aeromonas,1213,Pet food,tbtR,,
Aeromonas,1213,Pet food,ttg,,
Aeromonas,1213,Pet food,ttgR,,
Aeromonas,1213,Pet food,ttgT,,
Aeromonas,1213,Pet food,mtrF,,
Aeromonas,1213,Pet food,emrE,,
Aeromonas,1213,Egg,qac,,
Aeromonas,1213,Egg,qacEdelta,,
Aeromonas,1213,Egg,qacC,,
Aeromonas,1213,Egg,qacE,,
Aeromonas,1213,Egg,qacA,,
Aeromonas,1213,Egg,qacB,,
Aeromonas,1213,Egg,qacF,,
Aeromonas,1213,Egg,qacG,,
Aeromonas,1213,Egg,qacH,,
Aeromonas,1213,Egg,qacJ,,
Aeromonas,1213,Egg,qacK,,
Aeromonas,1213,Egg,qacL,,
Aeromonas,1213,Egg,qacM,,
Aeromonas,1213,Egg,sugE,,
Aeromonas,1213,Egg,bcrABC,,
Aeromonas,1213,Egg,crcB,,
Aeromonas,1213,Egg,srp,,
Aeromonas,1213,Egg,smd,,
