Genus,Source,Cluster,total_source,number
Citrobacter,Pet food,vanA_cluster,1,0
Citrobacter,Pet food,vanB_YXcluster,1,0
Citrobacter,Pet food,vanB_cluster,1,0
Citrobacter,Pet food,vanRSPt_cluster,1,0
Citrobacter,Pet food,vanGZ_cluster,1,0
Citrobacter,Pet food,vanG_cluster,1,0
Citrobacter,Egg,vanA_YXcluster,0,0
Citrobacter,Egg,vanA_cluster,0,0
Citrobacter,Egg,vanB_YXcluster,0,0
Citrobacter,Egg,vanB_cluster,0,0
Citrobacter,Egg,vanRSPt_cluster,0,0
Citrobacter,Egg,vanGZ_cluster,0,0
Citrobacter,Egg,vanG_cluster,0,0
Citrobacter,Fish/Seafood,vanA_YXcluster,5,0
Citrobacter,Fish/Seafood,vanA_cluster,5,0
Citrobacter,Fish/Seafood,vanB_YXcluster,5,0
Citrobacter,Fish/Seafood,vanB_cluster,5,0
Citrobacter,Fish/Seafood,vanRSPt_cluster,5,0
Citrobacter,Fish/Seafood,vanGZ_cluster,5,0
Citrobacter,Fish/Seafood,vanG_cluster,5,0
Citrobacter,Multi-product,vanA_YXcluster,17,0
Citrobacter,Multi-product,vanA_cluster,17,0
Citrobacter,Multi-product,vanB_YXcluster,17,0
Citrobacter,Multi-product,vanB_cluster,17,0
Citrobacter,Multi-product,vanRSPt_cluster,17,0
Citrobacter,Multi-product,vanGZ_cluster,17,0
Citrobacter,Multi-product,vanG_cluster,17,0
Citrobacter,Meat/Poultry,vanA_YXcluster,8,0
Citrobacter,Meat/Poultry,vanA_cluster,8,0
Citrobacter,Meat/Poultry,vanB_YXcluster,8,0
Citrobacter,Meat/Poultry,vanB_cluster,8,0
Citrobacter,Meat/Poultry,vanRSPt_cluster,8,0
Citrobacter,Meat/Poultry,vanGZ_cluster,8,0
Citrobacter,Meat/Poultry,vanG_cluster,8,0
Citrobacter,Dairy,vanA_YXcluster,2,0
Citrobacter,Dairy,vanA_cluster,2,0
Citrobacter,Dairy,vanB_YXcluster,2,0
Citrobacter,Dairy,vanB_cluster,2,0
Citrobacter,Dairy,vanRSPt_cluster,2,0
Citrobacter,Dairy,vanGZ_cluster,2,0
Citrobacter,Dairy,vanG_cluster,2,0
Citrobacter,Fruit/Vegetables,vanA_YXcluster,16,0
Citrobacter,Fruit/Vegetables,vanA_cluster,16,0
Citrobacter,Fruit/Vegetables,vanB_YXcluster,16,0
Citrobacter,Fruit/Vegetables,vanB_cluster,16,0
Citrobacter,Fruit/Vegetables,vanRSPt_cluster,16,0
Citrobacter,Fruit/Vegetables,vanGZ_cluster,16,0
Citrobacter,Fruit/Vegetables,vanG_cluster,16,0
Citrobacter,Clinical,vanA_YXcluster,2013,0
Citrobacter,Clinical,vanA_cluster,2013,0
Citrobacter,Clinical,vanB_YXcluster,2013,0
Citrobacter,Clinical,vanB_cluster,2013,0
Citrobacter,Clinical,vanRSPt_cluster,2013,0
Citrobacter,Clinical,vanGZ_cluster,2013,0
Citrobacter,Clinical,vanG_cluster,2013,0
Clostridioides difficile,Animal feed,vanA_YXcluster,0,0
Clostridioides difficile,Animal feed,vanA_cluster,0,0
Clostridioides difficile,Animal feed,vanB_YXcluster,0,0
Clostridioides difficile,Animal feed,vanB_cluster,0,0
Clostridioides difficile,Animal feed,vanRSPt_cluster,0,0
Clostridioides difficile,Animal feed,vanGZ_cluster,0,0
Clostridioides difficile,Animal feed,vanG_cluster,0,0
Clostridioides difficile,Raw pet food,vanA_YXcluster,0,0
Clostridioides difficile,Raw pet food,vanA_cluster,0,0
Clostridioides difficile,Raw pet food,vanB_YXcluster,0,0
Clostridioides difficile,Raw pet food,vanB_cluster,0,0
Clostridioides difficile,Raw pet food,vanRSPt_cluster,0,0
Clostridioides difficile,Raw pet food,vanGZ_cluster,0,0
Clostridioides difficile,Raw pet food,vanG_cluster,0,0
Clostridioides difficile,Pet food,vanA_YXcluster,0,0
Clostridioides difficile,Pet food,vanA_cluster,0,0
Clostridioides difficile,Pet food,vanB_YXcluster,0,0
Clostridioides difficile,Pet food,vanB_cluster,0,0
Clostridioides difficile,Pet food,vanRSPt_cluster,0,0
Clostridioides difficile,Pet food,vanGZ_cluster,0,0
Clostridioides difficile,Pet food,vanG_cluster,0,0
Clostridioides difficile,Egg,vanA_YXcluster,0,0
Clostridioides difficile,Egg,vanA_cluster,0,0
Clostridioides difficile,Egg,vanB_YXcluster,0,0
Clostridioides difficile,Egg,vanB_cluster,0,0
Clostridioides difficile,Egg,vanRSPt_cluster,0,0
Clostridioides difficile,Egg,vanGZ_cluster,0,0
Clostridioides difficile,Egg,vanG_cluster,0,0
Clostridioides difficile,Fish/Seafood,vanA_YXcluster,0,0
Clostridioides difficile,Fish/Seafood,vanA_cluster,0,0
Clostridioides difficile,Fish/Seafood,vanB_YXcluster,0,0
Clostridioides difficile,Fish/Seafood,vanB_cluster,0,0
Clostridioides difficile,Fish/Seafood,vanRSPt_cluster,0,0
Clostridioides difficile,Fish/Seafood,vanGZ_cluster,0,0
