Genus,Source,Gene,number,total,Percent
Escherichia coli,Cider,blaGES,0,14,0
Escherichia coli,Dairy,blaGES,0,325,0
Escherichia coli,Slaughterhouse,blaGES,0,247,0
Escherichia coli,Farm water,blaGES,0,29,0
Escherichia coli,Flour,blaGES,0,84,0
Escherichia coli,Fruit/vegetables,blaGES,0,763,0
Escherichia coli,Seeds,blaGES,0,5,0
Escherichia coli,Spice_Herbs,blaGES,0,49,0
Escherichia coli,Insect,blaGES,0,25,0
Escherichia coli,Nuts,blaGES,0,29,0
Escherichia coli,Plant,blaGES,0,16,0
Escherichia coli,Sewage,blaGES,0,331,0
Escherichia coli,Wastewater,blaGES,1,625,0.16
Escherichia coli,Water,blaGES,1,1464,0.068306011
Escherichia coli,Tea,blaGES,,,
Escherichia coli,Clinical,blaIMP,96,40966,0.234340673
Escherichia coli,Animal,blaIMP,24,9972,0.240673887
Escherichia coli,Animal environment,blaIMP,0,91,0
Escherichia coli,Animal feces,blaIMP,1,4932,0.02027575
Escherichia coli,Farm,blaIMP,0,1500,0
Escherichia coli,Egg,blaIMP,0,26,0
Escherichia coli,Farm sewage,blaIMP,0,6,0
Escherichia coli,Fish/Seafood,blaIMP,0,221,0
Escherichia coli,Food,blaIMP,0,765,0
Escherichia coli,Meat,blaIMP,1,9135,0.010946907
Escherichia coli,Reptile,blaIMP,0,13,0
Escherichia coli,Cider,blaIMP,0,14,0
Escherichia coli,Dairy,blaIMP,1,325,0.307692308
Escherichia coli,Slaughterhouse,blaIMP,0,247,0
Escherichia coli,Farm water,blaIMP,0,29,0
Escherichia coli,Flour,blaIMP,0,84,0
Escherichia coli,Fruit/vegetables,blaIMP,0,763,0
Escherichia coli,Seeds,blaIMP,0,5,0
Escherichia coli,Spice_Herbs,blaIMP,0,49,0
Escherichia coli,Insect,blaIMP,0,25,0
Escherichia coli,Nuts,blaIMP,0,29,0
Escherichia coli,Plant,blaIMP,0,16,0
Escherichia coli,Sewage,blaIMP,0,331,0
Escherichia coli,Wastewater,blaIMP,0,625,0
Escherichia coli,Water,blaIMP,0,1464,0
Escherichia coli,Tea,blaIMP,,,
Escherichia coli,Clinical,blaKPC,390,40966,0.952008983
Escherichia coli,Animal,blaKPC,3,9972,0.030084236
