Genus,Source,Class,number,total,Percent
Shigella,Seeds,betalactam,,,
Shigella,Spice_Herbs,betalactam,,,
Shigella,Insect,betalactam,,,
Shigella,Nuts,betalactam,,,
Shigella,Plant,betalactam,,,
Shigella,Sewage,betalactam,2,2,100
Shigella,Wastewater,betalactam,,,
Shigella,Water,betalactam,1,2,50
Shigella,Tea,betalactam,,,
Shigella,Clinical,bleomycin,1,11270,0.008873114
Shigella,Animal,bleomycin,0,24,0
Shigella,Animal environment,bleomycin,,,
Shigella,Animal feces,bleomycin,,,
Shigella,Farm,bleomycin,,,
Shigella,Egg,bleomycin,,,
Shigella,Farm sewage,bleomycin,,,
Shigella,Fish/Seafood,bleomycin,0,2,0
Shigella,Food,bleomycin,0,35,0
Shigella,Meat,bleomycin,0,12,0
Shigella,Reptile,bleomycin,,,
Shigella,Cider,bleomycin,,,
Shigella,Dairy,bleomycin,,,
Shigella,Slaughterhouse,bleomycin,,,
Shigella,Farm water,bleomycin,,,
Shigella,Flour,bleomycin,,,
Shigella,Fruit/vegetables,bleomycin,0,1,0
Shigella,Seeds,bleomycin,,,
Shigella,Spice_Herbs,bleomycin,,,
Shigella,Insect,bleomycin,,,
Shigella,Nuts,bleomycin,,,
Shigella,Plant,bleomycin,,,
Shigella,Sewage,bleomycin,0,2,0
Shigella,Wastewater,bleomycin,,,
Shigella,Water,bleomycin,0,2,0
Shigella,Tea,bleomycin,,,
Shigella,Clinical,fosfomycin,17,11270,0.150842946
Shigella,Animal,fosfomycin,2,24,8.333333333
Shigella,Animal environment,fosfomycin,,,
Shigella,Animal feces,fosfomycin,,,
Shigella,Farm,fosfomycin,,,
Shigella,Egg,fosfomycin,,,
Shigella,Farm sewage,fosfomycin,,,
Shigella,Fish/Seafood,fosfomycin,0,2,0
Shigella,Food,fosfomycin,0,35,0
Shigella,Meat,fosfomycin,0,12,0
Shigella,Reptile,fosfomycin,,,
Shigella,Cider,fosfomycin,,,
Shigella,Dairy,fosfomycin,,,
Shigella,Slaughterhouse,fosfomycin,,,
Shigella,Farm water,fosfomycin,,,
Shigella,Flour,fosfomycin,,,
Shigella,Fruit/vegetables,fosfomycin,0,1,0
Shigella,Seeds,fosfomycin,,,
Shigella,Spice_Herbs,fosfomycin,,,
Shigella,Insect,fosfomycin,,,
Shigella,Nuts,fosfomycin,,,
Shigella,Plant,fosfomycin,,,
Shigella,Sewage,fosfomycin,0,2,0
Shigella,Wastewater,fosfomycin,,,
Shigella,Water,fosfomycin,0,2,0
Shigella,Tea,fosfomycin,,,
