Species,Genus,total_genus,Source,Gene,number,total
Enterobacter mori,Enterobacter,48,Nuts/Seeds,blaCARB,,
Enterobacter mori,Enterobacter,48,Nuts/Seeds,blaCMY,,
Enterobacter mori,Enterobacter,48,Nuts/Seeds,blaCMY-2,,
Enterobacter mori,Enterobacter,48,Nuts/Seeds,blaCTX-M,,
Enterobacter mori,Enterobacter,48,Nuts/Seeds,blaGES,,
Enterobacter mori,Enterobacter,48,Nuts/Seeds,blaIMP,,
Enterobacter mori,Enterobacter,48,Nuts/Seeds,blaKPC,,
Enterobacter mori,Enterobacter,48,Nuts/Seeds,blaNDM,,
Enterobacter mori,Enterobacter,48,Nuts/Seeds,blaOXA,,
Enterobacter mori,Enterobacter,48,Nuts/Seeds,blaPER,,
Enterobacter mori,Enterobacter,48,Nuts/Seeds,blaSHV,,
Enterobacter mori,Enterobacter,48,Nuts/Seeds,blaTEM,,
Enterobacter mori,Enterobacter,48,Nuts/Seeds,blaVIM,,
Enterobacter mori,Enterobacter,48,Nuts/Seeds,catA,,
Enterobacter mori,Enterobacter,48,Nuts/Seeds,cmlA,,
Enterobacter mori,Enterobacter,48,Nuts/Seeds,dfrA,,
Enterobacter mori,Enterobacter,48,Nuts/Seeds,mec,,
Enterobacter mori,Enterobacter,48,Nuts/Seeds,mcr-,,
Enterobacter mori,Enterobacter,48,Nuts/Seeds,mcr-1,,
Enterobacter mori,Enterobacter,48,Nuts/Seeds,mcr-9,,
Enterobacter mori,Enterobacter,48,Nuts/Seeds,qnrS,,
Enterobacter mori,Enterobacter,48,Nuts/Seeds,sul,,
Enterobacter mori,Enterobacter,48,Nuts/Seeds,tet,,
Enterobacter mori,Enterobacter,48,Nuts/Seeds,van,,
Enterobacter mori,Enterobacter,48,Nuts/Seeds,gyrA,,
Enterobacter mori,Enterobacter,48,Nuts/Seeds,parC,,
Enterobacter mori,Enterobacter,48,Nuts/Seeds,parE,,
Enterobacter mori,Enterobacter,48,Tea,aac(3),,
Enterobacter mori,Enterobacter,48,Tea,aac(6')-Ib-cr,,
Enterobacter mori,Enterobacter,48,Tea,aadA,,
Enterobacter mori,Enterobacter,48,Tea,aph(3'')-Ib,,
Enterobacter mori,Enterobacter,48,Tea,aph(3'),,
Enterobacter mori,Enterobacter,48,Tea,aph(6)-Id,,
Enterobacter mori,Enterobacter,48,Tea,blaACT,,
Enterobacter mori,Enterobacter,48,Tea,blaCARB,,
Enterobacter mori,Enterobacter,48,Tea,blaCMY,,
Enterobacter mori,Enterobacter,48,Tea,blaCMY-2,,
Enterobacter mori,Enterobacter,48,Tea,blaCTX-M,,
Enterobacter mori,Enterobacter,48,Tea,blaGES,,
