Genus,Source,Gene,number,total
Aeromonas salmonicida,330,Fish/Seafood,sde,6,0
Aeromonas salmonicida,330,Fish/Seafood,lmrS,6,0
Aeromonas salmonicida,330,Fish/Seafood,smr,6,0
Aeromonas salmonicida,330,Fish/Seafood,ssmE,6,0
Aeromonas salmonicida,330,Fish/Seafood,tbtR,6,0
Aeromonas salmonicida,330,Fish/Seafood,ttg,6,0
Aeromonas salmonicida,330,Fish/Seafood,ttgR,6,0
Aeromonas salmonicida,330,Fish/Seafood,ttgT,6,0
Aeromonas salmonicida,330,Fish/Seafood,mtrF,6,0
Aeromonas salmonicida,330,Fish/Seafood,emrE,6,0
Aeromonas salmonicida,330,Multi-product,qac,6,1
Aeromonas salmonicida,330,Multi-product,qacEdelta,6,0
Aeromonas salmonicida,330,Multi-product,qacC,6,0
Aeromonas salmonicida,330,Multi-product,qacE,6,0
Aeromonas salmonicida,330,Multi-product,qacA,6,0
Aeromonas salmonicida,330,Multi-product,qacB,6,0
Aeromonas salmonicida,330,Multi-product,qacF,6,0
Aeromonas salmonicida,330,Multi-product,qacG,6,0
Aeromonas salmonicida,330,Multi-product,qacH,6,0
Aeromonas salmonicida,330,Multi-product,qacJ,6,0
Aeromonas salmonicida,330,Multi-product,qacK,6,0
Aeromonas salmonicida,330,Multi-product,qacL,6,1
Aeromonas salmonicida,330,Multi-product,qacM,6,0
Aeromonas salmonicida,330,Multi-product,sugE,6,0
Aeromonas salmonicida,330,Multi-product,bcrABC,6,0
Aeromonas salmonicida,330,Multi-product,crcB,6,0
Aeromonas salmonicida,330,Multi-product,srp,6,0
Aeromonas salmonicida,330,Multi-product,smd,6,0
Aeromonas salmonicida,330,Multi-product,sde,6,0
Aeromonas salmonicida,330,Multi-product,lmrS,6,0
Aeromonas salmonicida,330,Multi-product,smr,6,0
Aeromonas salmonicida,330,Multi-product,ssmE,6,0
Aeromonas salmonicida,330,Multi-product,tbtR,6,0
Aeromonas salmonicida,330,Multi-product,ttg,6,0
Aeromonas salmonicida,330,Multi-product,ttgR,6,0
Aeromonas salmonicida,330,Multi-product,ttgT,6,0
Aeromonas salmonicida,330,Multi-product,mtrF,6,0
Aeromonas salmonicida,330,Multi-product,emrE,6,0
Aeromonas salmonicida,330,Meat/Poultry,qac,4,0
Aeromonas salmonicida,330,Meat/Poultry,qacEdelta,4,0
Aeromonas salmonicida,330,Meat/Poultry,qacC,4,0
Aeromonas salmonicida,330,Meat/Poultry,qacE,4,0
Aeromonas salmonicida,330,Meat/Poultry,qacA,4,0
Aeromonas salmonicida,330,Meat/Poultry,qacB,4,0
Aeromonas salmonicida,330,Meat/Poultry,qacF,4,0
Aeromonas salmonicida,330,Meat/Poultry,qacG,4,0
