Species,Genus,Total_genus,Source,Class,total_from_source,number_res
Aeromonas salmonicida,Aeromonas,330,Spice/Herbs,lincosamide_streptogramin,,
Aeromonas salmonicida,Aeromonas,330,Spice/Herbs,mupirocin,,
Aeromonas salmonicida,Aeromonas,330,Spice/Herbs,nitroimidazole,,
Aeromonas salmonicida,Aeromonas,330,Spice/Herbs,phenicol,,
Aeromonas salmonicida,Aeromonas,330,Spice/Herbs,phenicol_oxazolidinone,,
Aeromonas salmonicida,Aeromonas,330,Spice/Herbs,phenicol_quinolone,,
Aeromonas salmonicida,Aeromonas,330,Spice/Herbs,pluromutilin,,
Aeromonas salmonicida,Aeromonas,330,Spice/Herbs,polymyxin,,
Aeromonas salmonicida,Aeromonas,330,Spice/Herbs,quinolone,,
Aeromonas salmonicida,Aeromonas,330,Spice/Herbs,rifamycin,,
Aeromonas salmonicida,Aeromonas,330,Spice/Herbs,streptogramin,,
Aeromonas salmonicida,Aeromonas,330,Spice/Herbs,streptothricin,,
Aeromonas salmonicida,Aeromonas,330,Spice/Herbs,sulphonamide,,
Aeromonas salmonicida,Aeromonas,330,Spice/Herbs,tetracenomycin,,
Aeromonas salmonicida,Aeromonas,330,Spice/Herbs,tetracycline,,
Aeromonas salmonicida,Aeromonas,330,Spice/Herbs,thiostrepton,,
Aeromonas salmonicida,Aeromonas,330,Spice/Herbs,trimethoprim,,
Aeromonas salmonicida,Aeromonas,330,Spice/Herbs,tuberactinomycin,,
Aeromonas salmonicida,Aeromonas,330,Spice/Herbs,Biocide,,
Aeromonas salmonicida,Aeromonas,330,Spice/Herbs,Metal,,
Aeromonas salmonicida,Aeromonas,330,Nuts/Seeds,aminoglycoside,,
Aeromonas salmonicida,Aeromonas,330,Nuts/Seeds,betalactam,,
Aeromonas salmonicida,Aeromonas,330,Nuts/Seeds,bleomycin,,
Aeromonas salmonicida,Aeromonas,330,Nuts/Seeds,fosfomycin,,
Aeromonas salmonicida,Aeromonas,330,Nuts/Seeds,fusidic acid,,
Aeromonas salmonicida,Aeromonas,330,Nuts/Seeds,glycopeptide,,
Aeromonas salmonicida,Aeromonas,330,Nuts/Seeds,MLS,,
Aeromonas salmonicida,Aeromonas,330,Nuts/Seeds,macrolide,,
Aeromonas salmonicida,Aeromonas,330,Nuts/Seeds,lincosamide,,
Aeromonas salmonicida,Aeromonas,330,Nuts/Seeds,lincosamide_streptogramin,,
Aeromonas salmonicida,Aeromonas,330,Nuts/Seeds,mupirocin,,
Aeromonas salmonicida,Aeromonas,330,Nuts/Seeds,nitroimidazole,,
Aeromonas salmonicida,Aeromonas,330,Nuts/Seeds,phenicol,,
Aeromonas salmonicida,Aeromonas,330,Nuts/Seeds,phenicol_oxazolidinone,,
Aeromonas salmonicida,Aeromonas,330,Nuts/Seeds,phenicol_quinolone,,
Aeromonas salmonicida,Aeromonas,330,Nuts/Seeds,pluromutilin,,
Aeromonas salmonicida,Aeromonas,330,Nuts/Seeds,polymyxin,,
Aeromonas salmonicida,Aeromonas,330,Nuts/Seeds,quinolone,,
Aeromonas salmonicida,Aeromonas,330,Nuts/Seeds,rifamycin,,
Aeromonas salmonicida,Aeromonas,330,Nuts/Seeds,streptogramin,,
Aeromonas salmonicida,Aeromonas,330,Nuts/Seeds,streptothricin,,
Aeromonas salmonicida,Aeromonas,330,Nuts/Seeds,sulphonamide,,
Aeromonas salmonicida,Aeromonas,330,Nuts/Seeds,tetracenomycin,,
Aeromonas salmonicida,Aeromonas,330,Nuts/Seeds,tetracycline,,
Aeromonas salmonicida,Aeromonas,330,Nuts/Seeds,thiostrepton,,
Aeromonas salmonicida,Aeromonas,330,Nuts/Seeds,trimethoprim,,
Aeromonas salmonicida,Aeromonas,330,Nuts/Seeds,tuberactinomycin,,
Aeromonas salmonicida,Aeromonas,330,Nuts/Seeds,Biocide,,
Aeromonas salmonicida,Aeromonas,330,Nuts/Seeds,Metal,,
Aeromonas salmonicida,Aeromonas,330,Tea,aminoglycoside,,
Aeromonas salmonicida,Aeromonas,330,Tea,betalactam,,
Aeromonas salmonicida,Aeromonas,330,Tea,bleomycin,,
Aeromonas salmonicida,Aeromonas,330,Tea,fosfomycin,,
Aeromonas salmonicida,Aeromonas,330,Tea,fusidic acid,,
Aeromonas salmonicida,Aeromonas,330,Tea,glycopeptide,,
Aeromonas salmonicida,Aeromonas,330,Tea,MLS,,
Aeromonas salmonicida,Aeromonas,330,Tea,macrolide,,
Aeromonas salmonicida,Aeromonas,330,Tea,lincosamide,,
Aeromonas salmonicida,Aeromonas,330,Tea,lincosamide_streptogramin,,
Aeromonas salmonicida,Aeromonas,330,Tea,mupirocin,,
Aeromonas salmonicida,Aeromonas,330,Tea,nitroimidazole,,
Aeromonas salmonicida,Aeromonas,330,Tea,phenicol,,
Aeromonas salmonicida,Aeromonas,330,Tea,phenicol_oxazolidinone,,
Aeromonas salmonicida,Aeromonas,330,Tea,phenicol_quinolone,,
Aeromonas salmonicida,Aeromonas,330,Tea,pluromutilin,,
Aeromonas salmonicida,Aeromonas,330,Tea,polymyxin,,
Aeromonas salmonicida,Aeromonas,330,Tea,quinolone,,
Aeromonas salmonicida,Aeromonas,330,Tea,rifamycin,,
Aeromonas salmonicida,Aeromonas,330,Tea,streptogramin,,
Aeromonas salmonicida,Aeromonas,330,Tea,streptothricin,,
Aeromonas salmonicida,Aeromonas,330,Tea,sulphonamide,,
Aeromonas salmonicida,Aeromonas,330,Tea,tetracenomycin,,
Aeromonas salmonicida,Aeromonas,330,Tea,tetracycline,,
Aeromonas salmonicida,Aeromonas,330,Tea,thiostrepton,,
Aeromonas salmonicida,Aeromonas,330,Tea,trimethoprim,,
Aeromonas salmonicida,Aeromonas,330,Tea,tuberactinomycin,,
